"Источник трафика","Источник трафика (детально)","Тип площадки","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","30223","24724","0.7344406577771896","1.4420143599245607","00:01:30"
"Переходы по ссылкам на сайтах","yandex.ru","Не определено","18548","14790","0.7156566745740781","1.4892710804399396","00:01:39"
"Прямые заходы","Не определено","Не определено","6172","5199","0.748703823720026","1.3206416072585871","00:01:39"
"Переходы по рекламе","Яндекс.Директ: Не определено","Не определено","1968","1896","0.986280487804878","1.0203252032520325","00:00:04"
"Внутренние переходы","Не определено","Не определено","1806","1623","0.7973421926910299","1.3377630121816169","00:01:02"
"Переходы по рекламе","Яндекс: Директ","Поиск","610","557","0.36557377049180334","1.8934426229508197","00:02:11"
"Переходы из поисковых систем","Яндекс","Не определено","423","398","0.6312056737588653","2.2505910165484635","00:01:13"
"Переходы из поисковых систем","Google","Не определено","232","207","0.5775862068965517","2.2370689655172415","00:01:22"
"Переходы по ссылкам на сайтах","yezhkin-roll.ru","Не определено","104","85","0.6346153846153846","1.5961538461538463","00:01:22"
"Переходы по ссылкам на сайтах","ya.ru","Не определено","101","95","0.7227722772277229","1.7326732673267327","00:00:19"
"Переходы по рекламе","Яндекс: Директ","Сети","81","73","0.6172839506172839","1.2592592592592593","00:00:19"
"Переходы по ссылкам на сайтах","suggest.sso.dzen.ru","Не определено","64","62","0.734375","1.625","00:00:35"
"Переходы по рекламе","Яндекс: Директ","Не определено","33","19","0.2121212121212121","1.9393939393939394","00:01:58"
"Переходы по ссылкам на сайтах","iframe-tasks.yandex","Не определено","17","16","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","alice.yandex.ru","Не определено","8","8","0.375","2.25","00:01:23"
"Переходы по ссылкам на сайтах","iframe-yang.yandex","Не определено","5","5","0.6","1.0","00:00:06"
"Переходы по ссылкам на сайтах","reviews.yandex.ru","Не определено","5","5","0.6","2.8","00:04:39"
"Переходы по ссылкам на сайтах","Не определено","Не определено","4","4","0.25","3.0","00:01:13"
"Переходы по ссылкам на сайтах","yezhkin-roll.tilda.ws","Не определено","4","2","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Bing","Не определено","4","4","0.75","1.5","00:01:12"
"Переходы по ссылкам на сайтах","away.vk.ru","Не определено","3","2","0.33333333333333326","5.333333333333333","00:09:27"
"Переходы по ссылкам на сайтах","ntp.msn.com","Не определено","3","2","0.6666666666666665","1.6666666666666667","00:00:05"
"Переходы по ссылкам на сайтах","avito.ru","Не определено","2","2","0.5","1.5","00:00:08"
"Переходы по ссылкам на сайтах","kudanamore.ru","Не определено","2","2","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","passport.yandex.com.tr","Не определено","2","1","0.5","3.5","00:02:30"
"Переходы по ссылкам на сайтах","webntp.yandex.ru","Не определено","2","1","0.5","1.5","00:00:00"
"Переходы из поисковых систем","DuckDuckGo","Не определено","2","2","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","adv.101internet.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","atlant-hotel.ru","Не определено","1","1","0.0","2.0","00:00:04"
"Переходы по ссылкам на сайтах","b24.kpkgpartner.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","city.ya.ru","Не определено","1","1","0.0","1.0","00:00:21"
"Переходы по ссылкам на сайтах","izumrud.aomedcentr.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","orgeo.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","perplexity.ai","Не определено","1","1","0.0","7.0","00:02:19"
"Переходы по ссылкам на сайтах","polyana-belarus.ru","Не определено","1","1","0.0","2.0","00:00:02"
"Переходы по ссылкам на сайтах","pos.gosuslugi.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","restaurantguru.ru","Не определено","1","1","0.0","4.0","00:04:46"
"Переходы по ссылкам на сайтах","ru.wikipedia.org","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","secure.101hotels.com","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","secure.travelline.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","sochi.cian.ru","Не определено","1","1","0.0","2.0","00:00:01"
"Переходы по ссылкам на сайтах","sso.ya.ru","Не определено","1","1","0.0","2.0","00:00:06"
"Переходы по ссылкам на сайтах","uteka.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","vselipoeli.ru","Не определено","1","1","0.0","3.0","00:00:16"
"Переходы по ссылкам на сайтах","конгресс.наука.рф","Не определено","1","1","1.0","1.0","00:00:00"
