"Сервис Яндекса. Используется на специальном счетчике вашей организации в Бизнесе","Организация. Используется на специальном счетчике вашей организации в Бизнесе","Целевое событие. Используется на специальном счетчике вашей организации в Бизнесе","Количество событий на Яндексе","Визиты","Посетители с целевыми событиями","Количество событий на Яндексе на посетителя"
"Итого и средние","","","47801","30176","24694","1.9357333765287115"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ организации","20477","14783","11618","1.7625236701669822"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ организации","8167","6754","6117","1.3351316004577407"
"Яндекс Поиск: веб версия","204748921771","Показ организации","2765","1995","1653","1.6727162734422263"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ профиля организации","1724","1386","1171","1.4722459436379163"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Перейти на сайт","1125","986","813","1.3837638376383763"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Показ профиля организации","1077","860","770","1.3987012987012988"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","988","809","709","1.3935119887165022"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ организации","973","739","685","1.4204379562043796"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ профиля организации","899","718","607","1.4810543657331137"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Показ профиля организации","863","722","534","1.6161048689138577"
"Яндекс Карты: веб версия","204748921771","Показ организации","801","636","576","1.390625"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","747","628","541","1.3807763401109057"
"Яндекс Карты: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ организации","739","554","483","1.5300207039337475"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","view_org_content","696","419","376","1.851063829787234"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","381","187","169","2.2544378698224854"
"Яндекс Поиск: веб версия","204748921771","Перейти на сайт","351","294","259","1.3552123552123552"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Построить маршрут","296","146","137","2.1605839416058394"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ профиля организации","231","195","154","1.5"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","231","98","89","2.595505617977528"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","224","193","179","1.2513966480446927"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","view_org_content","220","108","94","2.3404255319148937"
"Сайт в Яндекс Бизнесе","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Призыв к действию","201","156","150","1.34"
"Яндекс Поиск: веб версия","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","197","136","128","1.5390625"
"Яндекс Навигатор: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","194","159","143","1.3566433566433567"
"Яндекс Навигатор: мобильное приложение (iOS)","204748921771","Показ профиля организации","193","163","145","1.3310344827586207"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","160","126","115","1.391304347826087"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Клик на «Позвонить»","151","41","38","3.973684210526316"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Построить маршрут","151","119","108","1.3981481481481481"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Клик на «Позвонить»","139","35","33","4.212121212121212"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Показ профиля организации","128","106","91","1.4065934065934067"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Построить маршрут","125","103","72","1.7361111111111112"
"Яндекс Навигатор: мобильное приложение (Android)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Показ профиля организации","109","93","89","1.2247191011235956"
"Яндекс Навигатор: мобильное приложение (Android)","204748921771","Показ профиля организации","107","90","84","1.2738095238095237"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Построить маршрут","99","86","71","1.3943661971830985"
"Яндекс Карты: мобильное приложение (iOS)","Краснодарский край, Сочи, жилой район Адлер, улица Голубые Дали, 58/3","Клик на «Позвонить»","98","30","26","3.769230769230769"
"Яндекс Карты: мобильное приложение (iOS)","204748921771","Перейти на сайт","95","75","67","1.4179104477611941"
"Яндекс Карты: мобильное приложение (Android)","Краснодарский край, Сочи, микрорайон Центральный, улица Воровского, 5","Перейти на сайт","82","61","58","1.4137931034482758"
"Яндекс Карты: мобильное приложение (Android)","204748921771","Перейти на сайт","70","58","54","1.2962962962962963"
